;0;0;901
;0;0;8465
;0;0;9885
;0;0;8401
;0;0;2261
vloz;8200;1;7134
vyber;1700;0;4582
vyber;0;0;2883
vloz;800;1;9304
vloz;2200;2;337
vloz;1100;3;8610
vloz;900;4;3044
vloz;1000;5;4832
vloz;1000;6;6361
ukaz;600;6;2187
vloz;900;7;9356
ukaz;400;7;6370
ukaz;400;7;3564
vloz;1000;8;3296
vyber;16200;7;2190
vloz;1900;8;9880
vloz;4500;9;5651
vyber;900;8;8296
vloz;1500;9;2140
vyber;800;8;1550
ukaz;500;8;5213
vyber;800;7;1772
vloz;1500;8;1234
ukaz;500;8;1636
ukaz;500;8;1483
ukaz;500;8;285
vloz;1800;9;7382
vyber;800;8;7685
vloz;1800;9;5279
ukaz;400;9;8918
vloz;1300;10;3056
vloz;1400;11;1257
vyber;800;10;9152
ukaz;400;10;8359
vloz;1400;11;918
ukaz;400;11;2969
vloz;3200;12;4759
vloz;2300;13;9470
vyber;900;12;4365
ukaz;500;12;5739
ukaz;500;12;4917
vyber;700;11;2406
vyber;800;10;1132
vloz;1500;11;278
vloz;2100;12;3840
ukaz;500;12;5487
vloz;2000;13;9707
ukaz;400;13;79
vyber;800;12;3439
vloz;2300;13;9637
vyber;700;12;3661
vloz;2200;13;8183
vloz;2200;14;5718
vloz;1400;15;1931
ukaz;500;15;1819
vloz;2200;16;8216
vloz;6600;17;4655
vyber;700;16;8765
vloz;2200;17;5508
vyber;1000;16;6299
vloz;2000;17;7897
vyber;700;16;3347
ukaz;500;16;9808
ukaz;400;16;7521
vloz;2900;17;2601
vloz;1600;18;852
vloz;2400;19;6945
vloz;2000;20;6538
vyber;1100;19;7456
vloz;1600;20;761
vloz;5000;21;4263
ukaz;500;21;2841
ukaz;400;21;3422
vyber;900;20;7390
vloz;2300;21;9743
ukaz;400;21;511
vyber;800;20;8704
vyber;700;19;8203
vyber;800;18;6476
vloz;1600;19;4234
vyber;700;18;1451
ukaz;400;18;3028
vyber;800;17;3184
ukaz;400;17;8679
vloz;2100;18;5987
vloz;1500;19;2321
vloz;2100;20;4071
ukaz;400;20;5510
ukaz;500;20;2464
vyber;800;19;721
ukaz;500;19;7378
ukaz;400;19;4959
vloz;2500;20;6568
vyber;700;19;8004
vloz;1600;20;4329
ukaz;400;20;6976
vloz;2100;21;8502
ukaz;400;21;5000
vloz;2400;22;9997
ukaz;400;22;2506
vyber;700;21;9221
vyber;800;20;4050
vloz;1700;21;1754
vyber;800;20;1772
vloz;1600;21;56
ukaz;500;21;8726
ukaz;500;21;9932
vloz;2100;22;8373
vyber;700;21;3112
vloz;2200;22;8939
ukaz;400;22;2389
vloz;1700;23;3522
ukaz;500;23;4822
vloz;1600;24;3360
ukaz;400;24;853
vloz;2200;25;9326
vloz;1600;26;963
vyber;800;25;3583
vyber;700;24;8906
ukaz;400;24;4175
ukaz;500;24;1273
ukaz;400;24;2719
vloz;2400;25;7091
vloz;2100;26;4619
vyber;700;25;709
vyber;700;24;5357
vloz;1700;25;4362
vloz;2200;26;7111
vloz;1600;27;1559
ukaz;400;27;7668
vyber;700;26;422
ukaz;500;26;167
vloz;1500;27;3354
ukaz;400;27;7447
vloz;2100;28;4835
ukaz;500;28;7288
vloz;1500;29;2521
ukaz;400;29;5908
vyber;700;28;6773
vloz;2100;29;4719
vloz;1500;30;776
vyber;700;29;8733
ukaz;400;29;7485
vyber;700;28;4094
vloz;2200;29;6695
